Cash And Cash Equivalents,Current Ratio,Debt / Net Worth,EBITDA Margin,Earnings Before Interest And Tax,Financial Leverage,Gross Profit Margin,Quick Ratio,Return On Assets,Sales / Total Assets,Senior Net Debt,Total Liabilities / Total Assets,Total Net Debt EBITDA,default,year
9,1,9,1,9,9,5,0,0,6,6,8,6,1,2015
5,5,9,1,5,9,8,4,2,5,6,8,6,1,2015
1,3,9,2,1,8,9,4,0,2,8,7,8,0,2019
0,7,9,4,2,8,9,7,2,3,6,7,7,1,2020
3,1,9,0,0,9,4,0,0,6,4,8,2,0,2015
4,1,0,0,0,0,5,0,0,7,2,8,2,1,2016
2,2,9,2,0,9,6,4,0,5,6,8,6,1,2015
3,0,9,2,8,8,8,0,2,5,6,7,6,1,2015
3,1,7,1,4,7,4,0,0,9,6,6,6,0,2015
3,1,7,1,3,7,4,0,0,9,6,6,6,0,2016
3,1,7,1,0,7,4,0,0,9,6,6,6,0,2017
2,1,4,1,3,5,4,1,0,9,5,4,4,0,2018
2,1,6,1,5,5,4,1,4,9,5,4,6,1,2019
3,5,2,1,4,5,5,4,5,8,5,4,4,1,2015
8,1,9,1,8,8,5,1,4,6,6,7,6,0,2015
8,1,7,1,8,8,4,1,2,6,6,7,6,1,2016
0,0,9,2,3,9,6,0,2,5,6,8,6,0,2015
2,6,9,2,2,8,6,6,2,5,6,7,6,1,2016
5,0,9,2,7,9,9,0,0,2,8,8,8,0,2015
7,0,9,2,8,9,8,0,2,5,6,8,6,0,2016
8,1,9,2,9,9,8,0,2,5,6,8,6,1,2017
9,1,7,1,9,7,6,1,2,6,6,6,6,1,2015
2,1,1,1,3,9,6,0,2,6,5,8,4,0,2017
1,0,1,1,2,9,6,0,0,6,5,8,4,1,2018
0,5,7,0,0,8,6,4,0,8,2,7,2,1,2015
0,0,9,2,1,9,8,0,0,4,6,8,7,1,2016
4,3,0,1,4,7,8,4,6,9,4,6,3,1,2016
3,5,7,2,4,7,6,4,2,4,6,6,6,1,2018
4,1,2,1,5,7,4,0,0,6,5,6,4,1,2015
4,1,6,1,5,7,5,2,6,9,5,6,6,1,2015
1,5,6,1,2,4,6,4,2,5,4,3,3,1,2018
0,5,9,1,4,8,6,4,2,6,6,7,6,1,2015
1,5,9,2,1,8,6,4,4,3,8,7,8,1,2019
4,1,0,1,3,7,8,2,0,9,4,6,3,0,2015
5,1,1,1,4,7,8,1,2,9,5,6,4,1,2016
4,5,7,1,5,7,6,1,2,8,6,6,6,0,2016
4,5,7,1,5,7,6,1,2,8,6,6,6,0,2017
5,5,7,1,4,7,6,1,0,8,5,6,6,1,2018
1,3,7,1,4,7,6,4,6,8,5,6,6,0,2016
1,1,2,1,2,7,4,1,2,8,5,6,4,0,2017
1,5,8,1,4,7,4,4,5,6,6,6,6,1,2018
4,1,0,1,6,9,4,1,5,8,5,8,4,0,2016
6,1,7,1,8,9,4,1,2,9,5,8,6,1,2017
